name,handedness,height,weight,avg
Mark Souza,L,72,180,0
Bill Nahorodny,R,74,200,0.241
Bill Madlock,R,71,180,0.305
Bob Boone,R,74,195,0.254
Rick Jones,L,77,190,0
Steve Kemp,L,72,195,0.278
Rick Burleson,R,70,165,0.273
Jim Dorsey,R,79,190,0
Mark Ciardi,R,72,180,0
Dennis Burtt,R,72,180,0
Carl Taylor,R,74,200,0.266
Terry Harmon,R,74,180,0.233
Mike Hargrove,L,72,195,0.29
Rich Yett,R,74,187,0
Steve Hovley,L,70,188,0.258
Don Leppert,R,74,220,0.229
Matt Williams,R,73,200,0
Jim Burton,R,75,195,0
Rick Anderson,R,74,210,0
Charlie Mitchell,R,75,170,0
Bill Paschall,R,72,175,0
John Bohnet,B,72,175,0
Byron McLaughlin,R,73,175,0
Lee May,R,75,195,0.267
Luis Quintana,L,74,175,0
Sam McDowell,L,77,190,0.154
Rick Renick,R,72,188,0.221
Jeff Torborg,R,72,195,0.214
Dave Campbell,R,73,180,0.213
Pat Kelly,L,73,185,0.264
Al Weis,B,72,160,0.219
Jerry Turner,L,69,180,0.257
Rick Auerbach,R,72,165,0.22
Keith Macwhorter,R,76,190,0
Don Wilson,R,74,195,0.146
Jaime Cocanower,R,76,200,0
Jeff Sellers,R,73,175,0
Sandy Valdespino,L,68,170,0.23
Steve Senteney,R,74,205,0
Howard Bailey,R,72,195,0
Jeff Bettendorf,R,75,180,0
Ken Phelps,L,73,209,0.239
Cesar Cedeno,R,74,175,0.285
Bob Davidson,R,72,185,0
Phil Linz,R,73,180,0.235
Manny Mota,R,70,160,0.304
Brian Snyder,L,75,185,0
Steve Renko,R,77,230,0.215
Rick Sofield,L,73,195,0.243
Carlos Velazquez,R,71,180,0
Roger Miller,R,75,200,0
Doug DeCinces,R,74,190,0.259
John Castino,R,71,175,0.278
Dave May,L,70,186,0.251
Ron Washington,R,71,155,0.261
Billy Grabarkewitz,R,70,165,0.236
Willie Aikens,L,75,220,0.271
Earl Williams,R,75,215,0.247
Willie Mueller,R,76,220,0
John Flinn,R,72,175,0
Don Hahn,R,73,180,0.236
Todd Cruz,R,72,175,0.22
Tom Egan,R,76,218,0.2
Bob Heise,R,72,175,0.247
Tommy Harper,R,69,165,0.257
Joe Wallis,B,71,180,0.244
Max Alvis,R,71,185,0.247
Rico Carty,R,75,200,0.299
Mike Cubbage,L,72,180,0.258
Les Straker,R,73,193,0
Merritt Ranew,L,71,170,0.247
Lyman Bostock,L,73,180,0.311
Damaso Garcia,R,73,165,0.283
Don Kainer,R,75,205,0
Don Gordon,R,73,175,0
Roy Howell,L,73,190,0.261
Boog Powell,L,76,230,0.266
Sandy Wihtol,R,73,195,0
Sonny Siebert,R,75,190,0.173
Jeff Richardson,R,75,185,0
Bobby Darwin,R,74,190,0.251
Dennis DeBarr,L,74,190,0
Dan Driessen,L,71,187,0.267
Bruce Miller,R,73,185,0.246
Bob Bailor,R,71,170,0.264
Tommy Helms,R,70,165,0.269
Tony Armas,R,71,182,0.252
Willie Horton,R,71,209,0.273
Lou Piniella,R,72,182,0.291
Butch Hobson,R,73,193,0.248
John Wathan,R,74,205,0.262
Hal King,L,73,200,0.214
Mike Krukow,R,77,205,0.193
Andres Mora,R,72,180,0.223
Barry Foote,R,75,205,0.23
Ed Ott,L,70,190,0.259
Alan Wiggins,B,74,160,0.259
Ron Clark,R,70,175,0.189
Jay Pettibone,R,76,182,0
Glen Cook,R,71,180,0
Julio Gotay,R,72,180,0.26
Gary Alexander,R,74,195,0.23
Andre Thornton,R,75,200,0.254
Bob Oliver,R,75,205,0.256
Bill Castro,R,71,170,0
Ed Hodge,L,74,192,0
Tom Buskey,R,75,200,0
Bruce Taylor,R,72,178,0
Stan Thomas,R,74,185,0
Bob Robertson,R,73,195,0.242
Larry Monroe,R,76,200,0
Roger Slagle,R,75,190,0
Ollie Brown,R,74,178,0.265
Jim Campbell,L,71,175,0
Frank Quilici,R,73,170,0.214
Curt Kaufman,R,74,175,0
Joe Pepitone,L,74,185,0.258
Steve Barber,L,72,195,0.115
De Wayne Vaughn,R,71,180,0
Norm Miller,L,70,185,0.238
Bob Galasso,L,73,205,0
Rich Wortham,R,72,185,0
Bob Chance,L,74,196,0.261
Julio Cruz,B,69,165,0.237
Bill Sample,R,69,175,0.272
Juan Nieves,L,75,175,0
Mike Bacsik,R,74,180,0
Craig Kusick,R,75,210,0.235
Rudy Meoli,L,69,165,0.212
Ruppert Jones,L,70,170,0.25
Glenn Hoffman,R,73,175,0.242
Russ Gibson,R,73,195,0.228
Phil Huffman,R,74,180,0
Terry Francona,L,73,190,0.274
John Bateman,R,75,210,0.23
Luis Pujols,R,74,175,0.193
Joe Gaines,R,73,190,0.241
Doug Rader,R,74,208,0.251
Mickey Stanley,R,73,185,0.248
Steve Brown,R,77,200,0
Rick Lysander,R,74,190,0
Phil Bradley,R,72,185,0.286
Winston Llenas,R,70,165,0.23
Charlie Moore,R,71,180,0.261
Ralph Garr,L,71,185,0.306
Tommy John,R,75,180,0.157
Bruce Benedict,R,73,175,0.242
John Ellis,R,74,225,0.262
Wes Parker,B,73,180,0.267
Mel Stottlemyre,R,72,190,0
David Green,R,75,170,0.268
Reid Nichols,R,71,165,0.266
Rick Reichardt,R,75,210,0.261
Luis Tiant,R,72,180,0.164
Alex Sanchez,R,74,185,0
Broderick Perkins,L,70,180,0.271
Leon Roberts,R,75,200,0.267
Ray Burris,R,77,200,0.151
Len Gabrielson,L,76,210,0.253
Johnny Edwards,L,76,220,0.242
Paul Wilmet,R,71,170,0
Tom Grieve,R,74,190,0.249
Bruce Ellingsen,L,72,180,0
Bob Forsch,R,76,200,0.213
Gorman Heimueller,L,76,195,0
Danny Cater,R,72,170,0.276
Bill Schroeder,R,74,200,0.24
Clay Dalrymple,L,72,190,0.233
Carlos May,L,71,200,0.274
Reggie Smith,B,72,180,0.287
Ron Reed,R,78,215,0.158
Fred Howard,R,75,190,0
Davey Johnson,R,73,170,0.261
Ellis Valentine,R,76,205,0.278
Roy White,B,70,160,0.271
Mike Brumley,L,70,195,0.229
Al Luplow,L,70,175,0.235
John Hoover,R,74,190,0
Dick Allen,R,71,187,0.292
Doug Ault,R,75,200,0.236
Mark Wagner,R,72,165,0.243
Mike Walters,R,77,203,0
Willie Stargell,L,74,188,0.282
Steve Carlton,L,76,210,0.201
Jake Wood,R,73,163,0.25
Del Unser,L,73,180,0.258
Bob Brower,R,71,185,0.242
Ray Culp,R,72,200,0.123
Ivan Murrell,R,74,195,0.236
Lee Mazzilli,B,73,180,0.259
Garth Iorg,R,71,170,0.258
Alan Ashby,B,74,185,0.245
Bob Brenly,R,74,210,0.247
Ron Blomberg,L,73,195,0.293
Jim Rooker,R,72,195,0.201
Tim Blackwell,B,71,170,0.228
Colby Ward,R,74,185,0
Jerry Morales,R,70,155,0.259
Davey Lopes,R,69,170,0.263
Catfish Hunter,R,72,190,0.226
Mario Soto,R,72,174,0.132
Jimmy Wynn,R,70,160,0.25
Hank Allen,R,72,190,0.241
Jim Fregosi,R,73,190,0.265
Pepe Frias,R,70,159,0.24
Mike Schmidt,R,74,195,0.267
Willie Montanez,L,72,170,0.275
Rey Quinones,R,71,160,0.243
Mike Squires,L,71,185,0.26
Champ Summers,L,74,205,0.255
Chuck Porter,R,75,187,0
Bert Campaneris,R,70,160,0.259
Bobby Valentine,R,70,189,0.26
Rob Andrews,R,72,185,0.251
Tom Haller,L,76,195,0.257
Tom Dozier,R,74,190,0
Ed Stroud,L,71,180,0.237
Ron Swoboda,R,74,195,0.242
Harry Spilman,L,73,180,0.237
Bob Barton,R,72,175,0.226
Daryl Sconiers,L,74,185,0.265
Joe Torre,R,74,212,0.297
Al Ferrara,R,73,200,0.259
Rick Steirer,R,76,200,0
Sixto Lezcano,R,70,165,0.271
Al Lachowicz,R,75,198,0
Dave Nicholson,R,74,215,0.212
Freddie Patek,R,65,148,0.242
Ken Hubbs,R,74,175,0.247
Pepe Mangual,R,70,157,0.242
Leron Lee,L,72,196,0.25
Tom McCarthy,R,72,180,0
Steve Ontiveros,B,72,185,0.274
Willie Davis,L,74,180,0.279
Tom Lawless,R,71,170,0.207
Jerry Moses,R,75,210,0.251
Bobby Bonds,R,73,190,0.268
Dave McNally,R,71,185,0.133
Darrell Brown,B,72,184,0.274
Roy Foster,R,72,185,0.253
Denis Menke,R,72,185,0.25
Hal Breeden,R,74,200,0.243
Manny Trillo,R,73,150,0.263
Jackie Gutierrez,R,71,175,0.237
Jerry Kenney,L,73,170,0.237
Fred Kendall,R,73,185,0.234
Mike Anderson,R,74,200,0.246
Jim Lewis,R,75,190,0
Joe Charboneau,R,74,205,0.266
Jimmie Schaffer,R,69,170,0.223
Junior Kennedy,R,71,175,0.248
Wilbur Howard,B,74,170,0.25
Rod Gilbreath,R,74,180,0.248
Mark Brouhard,R,73,210,0.259
Dan Morogiello,L,73,200,0
Mike Young,B,74,195,0.247
Chris Speier,R,73,175,0.246
Gene Michael,B,74,183,0.229
Vic Harris,B,71,165,0.217
Mike Fischlin,R,73,165,0.22
Don Money,R,73,170,0.261
Joe Rudi,R,74,200,0.264
Jim Rice,R,74,200,0.298
Shawn Holman,R,74,185,0
Alan Wirth,R,76,190,0
Gil Garrido,R,69,150,0.237
Marty Perez,R,71,160,0.246
Tom Matchick,L,73,173,0.215
Jack Perconte,L,70,160,0.27
Ed Kirkpatrick,L,71,195,0.238
Jerry Grote,R,70,185,0.252
Ellie Hendricks,L,73,175,0.22
Jim Beauchamp,R,74,190,0.231
Terry Wilshusen,R,74,210,0
Tito Fuentes,B,71,175,0.268
Ron Brand,R,67,167,0.239
Leo Cardenas,R,71,150,0.257
Art Shamsky,L,73,168,0.253
Steve Ellsworth,R,80,220,0
Ron Cey,R,70,185,0.261
Skip Jutze,R,71,190,0.215
Butch Wynegar,B,73,190,0.255
Ron LeFlore,R,72,200,0.288
Bill Russell,R,72,175,0.263
Gene Tenace,R,72,190,0.241
Bubba Morton,R,70,175,0.267
Ellie Rodriguez,R,71,185,0.245
Darrel Chaney,B,74,188,0.217
Dick Nen,L,74,200,0.224
Bryan Kelly,R,74,195,0
Bill Freehan,R,75,203,0.262
Steve Nicosia,R,70,185,0.248
Ted Savage,R,73,185,0.233
Pete Mackanin,R,74,190,0.226
Rich Dauer,R,72,180,0.257
Mick Kelleher,R,69,176,0.213
Rowland Office,L,72,170,0.259
Rick Leach,L,73,180,0.268
Dwayne Murphy,L,73,185,0.246
Larry Harlow,L,74,185,0.248
Mike Epstein,L,75,230,0.244
Jerry Mumphrey,B,74,185,0.289
Don Sutton,R,73,185,0.144
Glenn Beckert,R,73,190,0.283
Ron Davis,R,72,175,0.233
Mike Shannon,R,75,195,0.255
Jason Thompson,L,76,200,0.261
Wayne Tolleson,B,69,160,0.241
John Leister,R,74,200,0
Don Cooper,R,73,185,0
Mike Jorgensen,L,72,195,0.243
Ed Romero,R,71,160,0.247
Rick Joseph,R,73,192,0.243
Cecil Cooper,L,74,165,0.298
Bill Almon,R,75,180,0.254
Joe Ferguson,R,74,200,0.24
Jeff Jones,R,75,210,0
Jerry Terrell,R,71,165,0.253
John Poloni,L,77,210,0
Dave Revering,L,76,210,0.265
Curt Ford,L,70,150,0.245
Jerry Dybzinski,R,74,180,0.234
Mike Willis,L,74,205,0
Bob Burda,L,71,174,0.224
Jesse Gonder,L,70,180,0.251
Gary Sutherland,R,72,185,0.243
Bob Coluccio,R,71,183,0.22
Dave Rader,L,71,165,0.257
Ron Gardenhire,R,72,175,0.232
Bill Sharp,L,70,178,0.255
Alan Bannister,R,71,170,0.27
Bob Watson,R,72,201,0.295
Ken Harrelson,R,74,190,0.239
Bobby Wine,R,73,187,0.215
Stefan Wever,R,80,245,0
John Kennedy,R,72,185,0.225
Chico Ruiz,B,72,169,0.24
Dave Johnson,R,73,183,0
Gail Hopkins,L,70,198,0.266
Doug Frobel,L,76,196,0.201
Luis Melendez,R,72,165,0.248
Jerry Augustine,L,72,183,0
Bill Plummer,R,73,190,0.188
Buck Rodgers,B,74,190,0.232
Phil Niekro,R,73,180,0.169
Jeff Holly,L,77,210,0
Tom Poquette,L,70,175,0.268
Eric Hetzel,R,75,175,0
Brian Asselstine,L,73,175,0.254
Rick Miller,L,72,175,0.269
Ed Charles,R,70,170,0.263
Luis Gomez,R,69,150,0.21
Dave Lemanczyk,R,76,235,0
Al Jones,R,76,210,0
Floyd Rayford,R,70,190,0.244
Sam Hinds,R,78,215,0
Tony Conigliaro,R,75,185,0.264
Clay Christiansen,R,77,205,0
Jim Barr,R,75,205,0.162
Jerry Remy,L,69,165,0.275
Larry Rothschild,L,74,180,0
Frank Duffy,R,73,180,0.232
Gary Lance,B,75,195,0
Tom O'Malley,L,72,180,0.256
Phil Garner,R,70,175,0.26
Larry Pashnick,R,75,205,0
Todd Fischer,R,70,170,0
